route	package_driver	surface_behavior	authority	version_identity	prepared_behavior	driver	lifecycle_behavior	release_inventory_v0.3.3	feature_matrix_delta	route_matrix_delta	lifecycle_matrix_delta	cross_cutting_behavior_delta	compatibility_class	consumer_effect	evidence	changelog_release_note_coverage	upgrade_rollback
`grok-build.acp`	`swallowtail-adapter-grok`; `swallowtail.grok-build.acp`	operation-private structured run and interactive session with session-negotiated model options; ACP v1 stdio	approved executable and environment; provider-supported delegated Grok subscription OAuth activated only through the advertised `cached_token` method	`grok-build.executable`; deprecated `0.2.114..=0.2.117`, maintained `1.0.4..=1.0.5` (`grok-4.6`), then permitted unverified-newer stable points; mid-gap `0.2.118..=0.2.121` and unprobed `1.0.0..=1.0.3` remain incompatible	`prepare_grok_build` → run or session profile → `start_run` or `open_session`; read authorized model options from the session handle	`GrokAcpDriver`; `StructuredRunDriver` and `InteractiveSessionDriver`	persistent_session=`unsupported`; management_binding=`no`; archive=`unsupported`; restore=`unsupported`; delete=`unsupported`; deletion_strength=`unsupported`; version_identity=deprecated `0.2.114..=0.2.117` plus maintained `1.0.4..=1.0.5`; later stable points may be visible `UnverifiedNewer`; mid-gap `0.2.118..=0.2.121` incompatible; stripped artifacts and no deterministic load transcript cannot prove complete client-visible replay, so no continuation-recovery, lifecycle, or management mapping is qualified; cleanup_guarantee=attachment, process, credential, and working-resource cleanup only; provider-owned session state is preserved	yes	NONE (negative evidence: feature row unchanged)	UNCHANGED:NONE	UNCHANGED:NONE	BREAKING shared close seam: exact HostServices + SessionCleanupRequest + caller-selected absolute deadline; expiry/cancellation transfers cleanup ownership and never claims Clean without proof	unchanged route-local behavior; explicit negative evidence	route-local identity, surface, authority, version, prepared behavior, driver, lifecycle, and feature row show no delta versus v0.3.3; shared close seam applies	current route/lifecycle snapshot equals the v0.3.3 row; route and lifecycle delta inventories record no change; feature/activity matrices are unchanged	no route-local release-note delta required; immutable v0.3.3 route row is the negative evidence	v0.4.0 consumers still update the shared InteractiveSessionHandle::close call if this route uses interactive sessions; otherwise none; rollback is the v0.3.3 source
`kimi-code.acp`	`swallowtail-adapter-kimi`; `swallowtail.kimi.acp`	resource-scoped provider-session catalogue/import plus persistent interactive session with negotiated model options; ACP v1 stdio	approved executable; delegated Kimi membership OAuth reference; explicit opaque state-root identity for catalogue/import	`kimi-code.executable`; exact `0.28.1` plus qualified `0.29.0..=0.38.0` under `QualifiedOnly`; exact `0.39.0` and `0.39.1` are excluded for an uncontained process-authority change; every point above `0.38.0` fails closed; ACP does not admit unverified-newer	`prepare_kimi_code(Acp)` → `prepare_session_catalogue`/`prepare_session_import` or `prepare_session` → typed operation; imported bindings then use ordinary `load_session` or `resume_session`	`KimiAcpDriver`; `ProviderSessionCatalogueDriver`, `ProviderSessionImportDriver`, and `InteractiveSessionDriver`	persistent_session=`unsupported`; management_binding=`no`; archive=`unsupported`; restore=`unsupported`; delete=`unsupported`; deletion_strength=`unsupported`; version_identity=exact qualified `0.28.1` plus `0.29.0..=0.38.0` under `QualifiedOnly`; exact `0.39.0` and `0.39.1` are incompatible because the agent-core-v2 ACP terminal runner replaces fail-closed errors with an uncontained local host-process spawn under the `terminal: false` capabilities this route advertises; every point above `0.38.0` fails closed; selected ACP route supports separate catalogue/import; initialize may advertise close/delete, which stay unmapped; cleanup_guarantee=catalogue/import joins its process and releases leases; interactive connection cleanup preserves provider state	yes	guaranteed_version_posture;notes	CHANGED:version_identity	CHANGED:version	BREAKING shared close seam: exact HostServices + SessionCleanupRequest + caller-selected absolute deadline; expiry/cancellation transfers cleanup ownership and never claims Clean without proof	provider-range/identity posture shrink above maintained cap; old maintained range retained	QualifiedOnly now caps at 0.38.0; exact 0.39.0/0.39.1 and every point above the cap fail closed because of uncontained local process authority	current/tag route snapshots; Research 270; g05.016/card 043; Contract 029; lifecycle unchanged except version evidence	CHANGELOG [Unreleased] Changed entry explicitly records QualifiedOnly, cap, exclusions, and reason; Card051 must carry upgrade/rollback text	v0.4.0: stay at 0.38.0 or stop; do not rely on 0.39.x ACP; rollback preserves the older permissive unverified posture only as historical behavior and is not a reason to mix versions
`kimi-code.headless`	`swallowtail-adapter-kimi`; `swallowtail.kimi.headless`	one-prompt structured run; stream-json stdio	approved executable and ambient harness configuration; delegated Kimi membership OAuth reference; durable provider retention	`kimi-code.executable`; `0.29.0..=0.32.0` under `kimi.headless.stream-json.v1`; `0.33.0..=0.39.1` under `kimi.headless.stream-json.v2`; the split is the exact point where the default `-p` engine becomes agent-core-v2; synthetic later stables permitted `UnverifiedNewer` on the assessed revision	`prepare_kimi_code(Headless)` → `prepare_run` → `start_run`	`KimiHeadlessDriver`; `StructuredRunDriver`	persistent_session=`unsupported`; management_binding=`no`; archive=`unsupported`; restore=`unsupported`; delete=`unsupported`; deletion_strength=`unsupported`; version_identity=exact qualified `0.29.0..=0.32.0` under v1; `0.33.0..=0.39.1` qualified under v2 with `system.version` preamble; later stable points may be visible `UnverifiedNewer` on the assessed revision; each run may retain provider-owned session state without exposing its identity; cleanup_guarantee=process and task cleanup only; provider state is preserved	yes	guaranteed_version_posture;notes	CHANGED:authority;version_identity	CHANGED:version	NONE (negative evidence: route does not use InteractiveSessionDriver)	provider version-identity correction; v1/v2 boundary moved, not a route removal	v1 is 0.29.0..=0.32.0; v2 is 0.33.0..=0.39.1; prior v1 qualification of 0.33.0..=0.37.2 was incorrect and must not be used	current/tag route snapshots; Research 270; g05.016/cards 041-042; currentness checkpoint; lifecycle version delta	CHANGELOG [Unreleased] Changed entry explains the agent-core-v2 split and corrected bounds; Card051 must state the compatibility correction	v0.4.0: select the matching v1/v2 route identity for the provider version; rollback restores the old claim only as historical source behavior and must not mix its wrong v1 map with current decoders
`kimi-code.local-server`	`swallowtail-adapter-kimi`; `swallowtail.kimi.local-server`	catalogue, retained one-prompt structured run, interactive session, exact-turn reconciliation, optional settled reconcile then replay-free resume, controlled attached-turn detachment, and inactive provider-session archive/restore; local REST and WebSocket v2	approved loopback server endpoint and opaque server-bearer lease; Kimi retains its separate harness account and configuration	`kimi-code.executable`; exact `0.28.1`, exact `0.29.0`, qualified `0.29.1..=0.30.0`, exact `0.31.0`, exact `0.31.1`, qualified `0.32.0..=0.34.0`, and qualified `0.35.0..=0.38.0` behavior milestones, then permitted visible unverified-newer points	`prepare_kimi_local_server_attached` or `start_kimi_local_server_owned` → catalogue, run, session, reconciliation, archive, restore, or ACP-binding-import profile → its typed operation; a prepared reconciliation and session may compose through `prepare_settled_session_restoration`	`KimiLocalServerDriver`; `ModelCatalogDriver`, `StructuredRunDriver`, `InteractiveSessionDriver`, `ProviderSessionReconciliationDriver`, and `ProviderSessionManagementDriver`	persistent_session=`supported`; management_binding=`yes`; archive=`supported`; restore=`supported`; delete=`unsupported`; deletion_strength=`unsupported`; version_identity=exact qualified `0.28.1` plus `0.29.0..=0.38.0`; profile and disabled-tool controls require `0.29.0`; `0.31.0` has a distinct subagent-status revision, `0.31.1` a refresh-stable revision, `0.32.0..=0.34.0` optional-meta-flags, and `0.35.0..=0.38.0` heartbeat-ping; later stable points may be visible `UnverifiedNewer`; cleanup_guarantee=joins WebSocket and task work, answers application ping with pong, releases the server-bearer lease, preserves provider state, and stops only an owned foreground child	yes	guaranteed_version_posture	CHANGED:version_identity	CHANGED:version	BREAKING shared close seam: exact HostServices + SessionCleanupRequest + caller-selected absolute deadline; expiry/cancellation transfers cleanup ownership and never claims Clean without proof	compatible extension/currentness or additive route-local behavior	existing supported route identity and prior behavior remain; additions are opt-in, exact-version-bound, or dispatch-only unless the evidence column names a stricter boundary	current/tag route snapshots; route/lifecycle/feature/activity matrices; mapped Research and g04/g05 card closeouts; unchanged fields are negative evidence	CHANGELOG [Unreleased] Changed/Added entries and route guides cover the named feature/currentness item; Card051 must consolidate release-note wording	no action for existing uses; opt into additions only at their exact qualified point; rollback omits the new selection and returns to v0.3.3 route behavior
`kimi-platform.chat`	`swallowtail-adapter-kimi-platform`; `swallowtail.kimi-platform.direct-chat`	catalogue and structured run; HTTP/SSE	approved `api.moonshot.ai` endpoint; Platform API key and pay-as-you-go billing	no ordered axis; exact `kimi-platform-chat-2026-07-21` facade	`prepare_kimi_platform_direct` → `prepare_catalogue` or `prepare_inference_attempt` → `list_models` or `start_run`	`KimiPlatformDirectDriver`; `ModelCatalogDriver` and `StructuredRunDriver`	persistent_session=`not-applicable`; management_binding=`no`; archive=`not-applicable`; restore=`not-applicable`; delete=`not-applicable`; deletion_strength=`not-applicable`; version_identity=exact `kimi-platform-chat-2026-07-21` facade; one-attempt inference has no provider session; cleanup_guarantee=request and stream cleanup only	yes	NONE (negative evidence: feature row unchanged)	UNCHANGED:NONE	UNCHANGED:NONE	NONE (negative evidence: route does not use InteractiveSessionDriver)	unchanged route-local behavior; explicit negative evidence	none; route identity, surface, authority, version, prepared behavior, driver, lifecycle, and feature row show no delta versus v0.3.3	current route/lifecycle snapshot equals the v0.3.3 row; route and lifecycle delta inventories record no change; feature/activity matrices are unchanged	no route-local release-note delta required; immutable v0.3.3 route row is the negative evidence	none; existing route remains compatible; rollback is the v0.3.3 source
`kiro.acp`	`swallowtail-adapter-kiro`; `swallowtail.kiro.acp`	one bounded interactive session; ACP v1 stdio	approved executable and environment; provider-supported local Kiro account state without a credential lease; explicit working resource	`kiro-cli.release`; exact `2.18.1`; no unverified-newer execution	`prepare_kiro_acp` → `prepare_session` → `open_session`	`KiroAcpDriver`; `InteractiveSessionDriver`	persistent_session=`unsupported`; management_binding=`no`; archive=`unsupported`; restore=`unsupported`; delete=`unsupported`; deletion_strength=`unsupported`; version_identity=exact `2.18.1`; selected ACP route advertises no close, load, or delete; cleanup_guarantee=connection, process, and task cleanup only; provider-owned session state is preserved	yes	NONE (negative evidence: feature row unchanged)	UNCHANGED:NONE	UNCHANGED:NONE	BREAKING shared close seam: exact HostServices + SessionCleanupRequest + caller-selected absolute deadline; expiry/cancellation transfers cleanup ownership and never claims Clean without proof	unchanged route-local behavior; explicit negative evidence	route-local identity, surface, authority, version, prepared behavior, driver, lifecycle, and feature row show no delta versus v0.3.3; shared close seam applies	current route/lifecycle snapshot equals the v0.3.3 row; route and lifecycle delta inventories record no change; feature/activity matrices are unchanged	no route-local release-note delta required; immutable v0.3.3 route row is the negative evidence	v0.4.0 consumers still update the shared InteractiveSessionHandle::close call if this route uses interactive sessions; otherwise none; rollback is the v0.3.3 source
`llama-cpp.attached`	`swallowtail-adapter-llama-cpp`; `swallowtail.llama-cpp.attached-openai-chat`	catalogue and structured run; HTTP/SSE	approved external server endpoint; local unauthenticated compute	`llama.cpp.attached-runtime`; exact opaque b9910/f5525f7e7 revision	`prepare_llama_cpp_attached` → `prepare_catalogue` or `prepare_inference_attempt` → `list_models` or `start_run`	`LlamaCppAttachedDriver`; `ModelCatalogDriver` and `StructuredRunDriver`	persistent_session=`not-applicable`; management_binding=`no`; archive=`not-applicable`; restore=`not-applicable`; delete=`not-applicable`; deletion_strength=`not-applicable`; version_identity=exact opaque b9910/f5525f7e7 revision; attached inference has no provider session; cleanup_guarantee=request cleanup only; the external server is preserved	yes	NONE (negative evidence: feature row unchanged)	UNCHANGED:NONE	UNCHANGED:NONE	NONE (negative evidence: route does not use InteractiveSessionDriver)	unchanged route-local behavior; explicit negative evidence	none; route identity, surface, authority, version, prepared behavior, driver, lifecycle, and feature row show no delta versus v0.3.3	current route/lifecycle snapshot equals the v0.3.3 row; route and lifecycle delta inventories record no change; feature/activity matrices are unchanged	no route-local release-note delta required; immutable v0.3.3 route row is the negative evidence	none; existing route remains compatible; rollback is the v0.3.3 source
`llama-cpp.owned`	`swallowtail-adapter-llama-cpp`; `swallowtail.llama-cpp.owned-b10069-openai-chat`	owned ephemeral serving lifecycle with optional adapter-local `--ctx-size N` and `--reasoning off` dispatch; process plus HTTP/SSE	approved `llama-server` executable and exact GGUF artifact; local unauthenticated compute	`llama.cpp.owned-runtime`; exact opaque b10069/178a6c449 revision	`prepare_llama_cpp_owned` → optional `LlamaCppContextSize` (`1..=2147483647`) and optional `LlamaCppReasoningSelection::Disabled` → `prepare_serving_start` → `start` and returned-handle `stop`; omission preserves no context and no reasoning flag	`LlamaCppOwnedDriver`; `ServingInstanceDriver`	persistent_session=`not-applicable`; management_binding=`no`; archive=`not-applicable`; restore=`not-applicable`; delete=`not-applicable`; deletion_strength=`not-applicable`; version_identity=exact opaque b10069/178a6c449 revision; serving lifecycle is not session management; cleanup_guarantee=stops and joins the owned server; model and provider state are not managed	yes	notes	CHANGED:surface;prepared_behavior	UNCHANGED:NONE	NONE (negative evidence: route does not use InteractiveSessionDriver)	compatible extension/currentness or additive route-local behavior	existing supported route identity and prior behavior remain; additions are opt-in, exact-version-bound, or dispatch-only unless the evidence column names a stricter boundary	current/tag route snapshots; route/lifecycle/feature/activity matrices; mapped Research and g04/g05 card closeouts; unchanged fields are negative evidence	CHANGELOG [Unreleased] Changed/Added entries and route guides cover the named feature/currentness item; Card051 must consolidate release-note wording	no action for existing uses; opt into additions only at their exact qualified point; rollback omits the new selection and returns to v0.3.3 route behavior
`mistral-vibe.headless`	`swallowtail-adapter-mistral-vibe`; `swallowtail.mistral-vibe.headless`	one-prompt structured run; streaming NDJSON over stdio; exact caller-decreasing maximum turns `1..=8` with omission fixed at `8`	approved executable and environment; provider-supported local Vibe config state without a credential lease; explicit working resource and host process deadline	`mistral-vibe.release`; exact `2.24.2`; no unverified-newer execution	`prepare_mistral_vibe_headless` → `prepare_run` → `start_run`	`MistralVibeHeadlessDriver`; `StructuredRunDriver`	persistent_session=`not-applicable`; management_binding=`no`; archive=`not-applicable`; restore=`not-applicable`; delete=`not-applicable`; deletion_strength=`not-applicable`; version_identity=exact `2.24.2`; one print run and no reusable provider-session identity; cleanup_guarantee=process and task cleanup only; local Vibe config state is preserved	yes	notes	CHANGED:surface	UNCHANGED:NONE	NONE (negative evidence: route does not use InteractiveSessionDriver)	compatible extension/currentness or additive route-local behavior	existing supported route identity and prior behavior remain; additions are opt-in, exact-version-bound, or dispatch-only unless the evidence column names a stricter boundary	current/tag route snapshots; route/lifecycle/feature/activity matrices; mapped Research and g04/g05 card closeouts; unchanged fields are negative evidence	CHANGELOG [Unreleased] Changed/Added entries and route guides cover the named feature/currentness item; Card051 must consolidate release-note wording	no action for existing uses; opt into additions only at their exact qualified point; rollback omits the new selection and returns to v0.3.3 route behavior
`muse-code.headless`	`swallowtail-adapter-muse`; `swallowtail.muse-code.headless`	exact-model read-only structured run; Muse event JSONL over one joined stdio child	approved signed payload and environment; provider-supported local Meta account state without a credential lease; provider-enforced sandbox and read-only working resource	`muse-code.signed-payload`; exact opaque `0.2.1-R1215.1`; no unverified-newer execution	`prepare_muse_headless` → `prepare_run` → `start_run`	`MuseHeadlessDriver`; `StructuredRunDriver`	persistent_session=`not-applicable`; management_binding=`no`; archive=`not-applicable`; restore=`not-applicable`; delete=`not-applicable`; deletion_strength=`not-applicable`; version_identity=exact opaque `0.2.1-R1215.1`; every run disables the session log and admits no reusable provider-session identity; cleanup_guarantee=process and task cleanup only; local Meta account/config state is preserved	yes	NONE (negative evidence: feature row unchanged)	UNCHANGED:NONE	UNCHANGED:NONE	NONE (negative evidence: route does not use InteractiveSessionDriver)	unchanged route-local behavior; explicit negative evidence	none; route identity, surface, authority, version, prepared behavior, driver, lifecycle, and feature row show no delta versus v0.3.3	current route/lifecycle snapshot equals the v0.3.3 row; route and lifecycle delta inventories record no change; feature/activity matrices are unchanged	no route-local release-note delta required; immutable v0.3.3 route row is the negative evidence	none; existing route remains compatible; rollback is the v0.3.3 source
`oh-my-pi.rpc`	`swallowtail-adapter-oh-my-pi`; `swallowtail.oh-my-pi.rpc`	catalogue, one-prompt structured run, and interactive session with exact model/reasoning selection, typed questions, and optional bounded PNG input; negotiated RPC v2 chunked JSONL stdio	approved executable and environment; provider-supported local OMP authentication state; explicit ambient read authority and a provider-suppressed tool set	`oh-my-pi.package`; maintained `17.2.9..=17.4.0`, then permitted visible unverified-newer stable points	`prepare_oh_my_pi_rpc` → catalogue, run, or session profile → `list_models`, `start_run`, or `open_session`; prepared sessions expose fresh context-losing restoration	`OhMyPiRpcDriver`; `ModelCatalogDriver`, `StructuredRunDriver`, and `InteractiveSessionDriver`	persistent_session=`not-applicable`; management_binding=`no`; archive=`not-applicable`; restore=`not-applicable`; delete=`not-applicable`; deletion_strength=`not-applicable`; version_identity=exact qualified `17.2.9..=17.4.0`; later stable points may be visible `UnverifiedNewer`; cleanup_guarantee=operation process and materialized attachment cleanup only; local OMP auth/config state is preserved	yes	guaranteed_version_posture	CHANGED:version_identity	CHANGED:version	BREAKING shared close seam: exact HostServices + SessionCleanupRequest + caller-selected absolute deadline; expiry/cancellation transfers cleanup ownership and never claims Clean without proof	compatible extension/currentness or additive route-local behavior	existing supported route identity and prior behavior remain; additions are opt-in, exact-version-bound, or dispatch-only unless the evidence column names a stricter boundary	current/tag route snapshots; route/lifecycle/feature/activity matrices; mapped Research and g04/g05 card closeouts; unchanged fields are negative evidence	CHANGELOG [Unreleased] Changed/Added entries and route guides cover the named feature/currentness item; Card051 must consolidate release-note wording	no action for existing uses; opt into additions only at their exact qualified point; rollback omits the new selection and returns to v0.3.3 route behavior
`ollama.attached`	`swallowtail-adapter-ollama`; `swallowtail.ollama.native-attached`	inventory, structured run, and bounded interactive transcript replay with selected-model reasoning evidence, optional adapter-local `options.num_ctx`, and provider-native JSON Schema on structured runs; native HTTP/NDJSON	approved attached-runtime endpoint; local unauthenticated compute	`ollama.runtime`; maintained `0.14.0..=0.32.15` excluding `0.32.2` and `0.32.10`, plus permitted unverified-newer stable points	`prepare_ollama_attached` → inventory, inference-attempt, or session profile → `observe_inventory`, `start_run`, or `open_session`; prepared sessions expose context-losing restoration and commit only clean terminal turns	`OllamaNativeAttachedDriver`; `ModelCatalogDriver`, `StructuredRunDriver`, and `InteractiveSessionDriver`	persistent_session=`not-applicable`; management_binding=`no`; archive=`not-applicable`; restore=`not-applicable`; delete=`not-applicable`; deletion_strength=`not-applicable`; version_identity=accepted `ollama.runtime` segments; attached inference has no provider session; cleanup_guarantee=request cleanup only; the external runtime is preserved	yes	guaranteed_version_posture;notes	CHANGED:surface;version_identity	UNCHANGED:NONE	BREAKING shared close seam: exact HostServices + SessionCleanupRequest + caller-selected absolute deadline; expiry/cancellation transfers cleanup ownership and never claims Clean without proof	compatible extension/currentness or additive route-local behavior	existing supported route identity and prior behavior remain; additions are opt-in, exact-version-bound, or dispatch-only unless the evidence column names a stricter boundary	current/tag route snapshots; route/lifecycle/feature/activity matrices; mapped Research and g04/g05 card closeouts; unchanged fields are negative evidence	CHANGELOG [Unreleased] Changed/Added entries and route guides cover the named feature/currentness item; Card051 must consolidate release-note wording	no action for existing uses; opt into additions only at their exact qualified point; rollback omits the new selection and returns to v0.3.3 route behavior
`openai.background`	`swallowtail-adapter-openai`; `swallowtail.openai.background`	retained structured run with exact reasoning, provider-native JSON Schema, adapter-local explicit standard service-tier dispatch, optional controlled detachment, and exact read-only run reconciliation; HTTP/SSE background Responses	exact public API endpoint; public API key and pay-as-you-go billing	`openai.responses-background-facade`; exact opaque `openai-responses-background-2026-08-23-service-tier` revision	`prepare_openai_background` → `prepare_background_run` → `start_run`, or `prepare_run_reconciliation` → `reconcile`; explicit `default` is ordinary attached/one-reattachment dispatch-only, selected detachment rejects, and selected-tier checkpoints cannot restart reconciliation	`OpenAiBackgroundDriver`; `StructuredRunDriver` and `ProviderRunReconciliationDriver`	persistent_session=`not-applicable`; management_binding=`no`; archive=`not-applicable`; restore=`not-applicable`; delete=`not-applicable`; deletion_strength=`not-applicable`; version_identity=exact opaque `openai.responses-background-facade` revision; retained run is not a reusable thread; cleanup_guarantee=ordinary runs use bounded retrieval and native cancellation, then terminal response deletion; detachment-qualified runs with omitted service tier preserve the exact checkpointed response for read-only run reconciliation, while selected-tier checkpoints reject reconciliation	yes	notes	CHANGED:surface;version_identity;prepared_behavior	CHANGED:cleanup	NONE (negative evidence: route does not use InteractiveSessionDriver)	breaking guaranteed-behavior shrink plus lifecycle/cleanup contract refinement	minimal no longer accepted for exact GPT-5.6 and fails before endpoint/credential/request work; selected-tier checkpoints cannot restart reconciliation; standard default tier remains dispatch-only	current/tag route snapshots; Contract 036; g04.044; CHANGELOG [Unreleased] Breaking/Changed/Added entries; openai background guide; lifecycle delta	CHANGELOG [Unreleased] names minimal removal, corrected facade, fail-before-effects, service-tier and checkpoint cleanup; Card051 must promote coordinated release wording	v0.4.0: replace minimal with none/low/medium/high/xhigh/max as admitted and do not restart selected-tier checkpoints; rollback to v0.3.3 restores the prior unqualified input but loses the corrected safety boundary
`openai.realtime`	`swallowtail-adapter-openai`; `swallowtail.openai.realtime`	realtime media session with exact output-token maximum and session-scoped reasoning effort; WebSocket	approved public Realtime endpoint; OpenAI public API key and pay-as-you-go billing	`openai.realtime-facade`; exact opaque revision `openai-realtime-reasoning-2026-08-27`	`prepare_openai_realtime` → `prepare_realtime_session` → `open_session` or fresh realtime restoration	`OpenAiRealtimeDriver`; `RealtimeMediaSessionDriver`	persistent_session=`not-applicable`; management_binding=`no`; archive=`not-applicable`; restore=`not-applicable`; delete=`not-applicable`; deletion_strength=`not-applicable`; version_identity=exact opaque `openai.realtime-facade` revision; media session is connection-scoped; cleanup_guarantee=response and connection cleanup only	yes	guaranteed_version_posture;reasoning_selection;notes	CHANGED:surface;version_identity	UNCHANGED:NONE	NONE (negative evidence: route does not use InteractiveSessionDriver)	compatible extension/currentness or additive route-local behavior	existing supported route identity and prior behavior remain; additions are opt-in, exact-version-bound, or dispatch-only unless the evidence column names a stricter boundary	current/tag route snapshots; route/lifecycle/feature/activity matrices; mapped Research and g04/g05 card closeouts; unchanged fields are negative evidence	CHANGELOG [Unreleased] Changed/Added entries and route guides cover the named feature/currentness item; Card051 must consolidate release-note wording	no action for existing uses; opt into additions only at their exact qualified point; rollback omits the new selection and returns to v0.3.3 route behavior
`opencode.http`	`swallowtail-adapter-opencode`; `swallowtail.opencode.http`	resource-scoped provider-session catalogue/import, newest-first provider history pages over bounded session-message replay, and read-only interrupted-turn reconciliation with optional settled bounded load; model catalogue; operation-private structured run with catalogue-gated reasoning, zero-retry harness-validated JSON Schema, optional bounded PNG input, and optional one-shot permission or ordered-question callbacks; interactive session with the same opt-in input/callback subset; opt-in callback-free active-turn detachment with durable binding and later reconciliation; inactive provider-session delete; HTTP/SSE	approved attached-server endpoint; maintainer-supported delegated-auth credential profile	`opencode.server`; qualified published segments `1.14.48..=1.18.20`; later stable points may be visible unverified newer but do not inherit import, reconciliation, history, or detachment	`prepare_opencode_attached` → session catalogue/import/history/reconciliation, model catalogue, run, session, or delete profile → typed operation; imported bindings then use ordinary `load_session` or `resume_session`; a prepared reconciliation and session may compose through `prepare_settled_session_restoration`; selected read-only sessions use `with_active_turn_detachment` before dispatch	`OpenCodeHttpDriver`; `ProviderSessionCatalogueDriver`, `ProviderSessionImportDriver`, `ProviderSessionHistoryDriver`, `ProviderSessionReconciliationDriver`, `ModelCatalogDriver`, `StructuredRunDriver`, `InteractiveSessionDriver`, and `ProviderSessionManagementDriver`	persistent_session=`supported`; management_binding=`yes`; archive=`unsupported`; restore=`unsupported`; delete=`supported`; deletion_strength=`ProviderDataDeleted`; version_identity=`1.14.48..=1.18.20` across exact published segments; later stable points may be visible `UnverifiedNewer`; cleanup_guarantee=structured runs delete their operation-private session; interactive attachment cleanup preserves the external server	yes	guaranteed_version_posture	CHANGED:version_identity	CHANGED:version	BREAKING shared close seam: exact HostServices + SessionCleanupRequest + caller-selected absolute deadline; expiry/cancellation transfers cleanup ownership and never claims Clean without proof	compatible extension/currentness or additive route-local behavior	existing supported route identity and prior behavior remain; additions are opt-in, exact-version-bound, or dispatch-only unless the evidence column names a stricter boundary	current/tag route snapshots; route/lifecycle/feature/activity matrices; mapped Research and g04/g05 card closeouts; unchanged fields are negative evidence	CHANGELOG [Unreleased] Changed/Added entries and route guides cover the named feature/currentness item; Card051 must consolidate release-note wording	no action for existing uses; opt into additions only at their exact qualified point; rollback omits the new selection and returns to v0.3.3 route behavior
`pi.rpc`	`swallowtail-adapter-pi`; `swallowtail.pi.rpc`	catalogue, one-prompt structured run, and interactive session with optional bounded PNG input; strict LF JSONL RPC stdio	approved executable; maintainer-supported `pi/delegated-harness-auth` profile	`pi.package`; maintained range plus permitted unverified-newer stable points	`prepare_pi_rpc` → catalogue, run, or session profile → `list_models`, `start_run`, or `open_session`; run inputs carry attachments and session inputs opt into image-bearing turns	`PiRpcDriver`; `ModelCatalogDriver`, `StructuredRunDriver`, and `InteractiveSessionDriver`	persistent_session=`not-applicable`; management_binding=`no`; archive=`not-applicable`; restore=`not-applicable`; delete=`not-applicable`; deletion_strength=`not-applicable`; version_identity=accepted `pi.package` segments; current RPC operation has no management binding; cleanup_guarantee=attachment and process cleanup only	yes	guaranteed_version_posture	UNCHANGED:NONE	UNCHANGED:NONE	BREAKING shared close seam: exact HostServices + SessionCleanupRequest + caller-selected absolute deadline; expiry/cancellation transfers cleanup ownership and never claims Clean without proof	unchanged route-local behavior; explicit negative evidence	route-local identity, surface, authority, version, prepared behavior, driver, lifecycle, and feature row show no delta versus v0.3.3; shared close seam applies	current route/lifecycle snapshot equals the v0.3.3 row; route and lifecycle delta inventories record no change; feature/activity matrices are unchanged	no route-local release-note delta required; immutable v0.3.3 route row is the negative evidence	v0.4.0 consumers still update the shared InteractiveSessionHandle::close call if this route uses interactive sessions; otherwise none; rollback is the v0.3.3 source
